Emp-ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome (km),Education Level ,Gender,JobInvolvement,JobInvolvement  Level,JobPosition,JobPosition Level,JobRole,JobSatisfaction,JobSatisfaction Level, MonthlyIncome ,OverTime,PerformanceRating,PerformanceRating Level,TrainingTimesLastYear,TraningLevel,WorkLifeBalance,WorkLifeBalance Level,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Date Of Joining,Exit Date,,,,,,,,,,,,,,,,,,,,,,,
Emp-011,35,No,Travel Rarely,Research & Development,16,Post Graduate,Male,4,Very High,1,Entry Level,Laboratory Technician,2,Moderate," ₹ 24,260 ",No,4,Exceeds Expectation,5,Advanced Training,3,Good,5,4,0,07-09-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-012,29,No,Travel Rarely,Research & Development,15,Post Graduate,Female,2,Moderate,2,Junior Level,Laboratory Technician,3,High," ₹ 41,930 ",Yes,2,Needs Improvement,3,Regular Training,3,Good,9,5,0,16-08-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-013,31,No,Travel Rarely,Research & Development,26,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,3,High," ₹ 29,110 ",No,3,Meets Expectation,1,Basic Training,2,Poor,5,2,4,21-11-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-014,34,No,Travel Rarely,Research & Development,19,Phd holder,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 26,610 ",No,3,Meets Expectation,2,Regular Training,3,Good,2,2,1,22-02-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-015,28,Yes,Travel Rarely,Research & Development,24,Post Graduate,Male,2,Moderate,1,Entry Level,Laboratory Technician,3,High," ₹ 20,280 ",Yes,2,Needs Improvement,4,Advanced Training,3,Good,4,2,0,08-06-2020,12-02-2021,,,,,,,,,,,,,,,,,,,,,,,
Emp-016,29,No,Travel Rarely,Research & Development,21,Post Graduate,Female,4,Very High,3,Mid Level,Manufacturing Director,1,Low," ₹ 99,800 ",No,3,Meets Expectation,1,Basic Training,3,Good,10,9,8,05-10-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-017,32,No,Travel Rarely,Research & Development,5,Phd holder,Male,4,Very High,1,Entry Level,Research Scientist,2,Moderate," ₹ 32,980 ",Yes,4,Exceeds Expectation,5,Advanced Training,2,Poor,6,2,0,11-02-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-018,22,No,Non Travel,Research & Development,16,Graduate,Male,4,Very High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 29,350 ",Yes,5,Pure Talent,2,Regular Training,2,Poor,1,0,0,13-05-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-019,53,No,Travel Rarely,Sales,2,Post Graduate,Female,2,Moderate,4,Senior Level,Manager,4,Very High," ₹ 1,54,270 ",No,3,Meets Expectation,3,Regular Training,3,Good,25,8,3,01-06-1999,,,,,,,,,,,,,,,,,,,,,,,,
Emp-020,38,No,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 39,440 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,3,2,1,14-03-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-021,24,No,Non Travel,Research & Development,11,Post Graduate,Female,4,Very High,2,Junior Level,Manufacturing Director,3,High," ₹ 40,110 ",No,4,Exceeds Expectation,5,Advanced Training,2,Poor,4,2,1,25-10-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-022,36,Yes,Travel Rarely,Sales,9,Post Graduate,Male,2,Moderate,1,Entry Level,Sales Representative,1,Low," ₹ 34,070 ",No,3,Meets Expectation,4,Advanced Training,3,Good,5,3,0,12-07-2019,07-12-2023,,,,,,,,,,,,,,,,,,,,,,,
Emp-023,34,No,Travel Rarely,Research & Development,7,Post Graduate,Female,3,High,3,Mid Level,Research Director,2,Moderate," ₹ 1,19,940 ",No,3,Meets Expectation,4,Advanced Training,3,Good,12,6,2,03-09-2012,,,,,,,,,,,,,,,,,,,,,,,,
Emp-024,21,No,Travel Rarely,Research & Development,15,Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 12,320 ",No,4,Exceeds Expectation,6,Advanced Training,3,Good,0,0,0,19-10-2024,,,,,,,,,,,,,,,,,,,,,,,,
Emp-025,34,Yes,Travel Rarely,Research & Development,6,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,1,Low," ₹ 29,600 ",No,3,Meets Expectation,2,Regular Training,3,Good,4,2,1,14-09-2020,26-10-2021,,,,,,,,,,,,,,,,,,,,,,,
Emp-026,53,No,Travel Rarely,Research & Development,5,Phd holder,Female,3,High,5,Leadership,Manager,3,High," ₹ 1,90,940 ",No,4,Exceeds Expectation,3,Regular Training,2,Poor,14,13,4,13-06-2010,,,,,,,,,,,,,,,,,,,,,,,,
Emp-027,32,Yes,Travel Frequently,Research & Development,16,Post Graduate,Female,1,Low,1,Entry Level,Research Scientist,1,Low," ₹ 39,190 ",Yes,2,Needs Improvement,5,Advanced Training,3,Good,10,2,6,08-04-2014,06-07-2015,,,,,,,,,,,,,,,,,,,,,,,
Emp-028,42,No,Travel Rarely,Sales,8,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,2,Moderate," ₹ 68,250 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,9,7,4,17-06-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-029,44,No,Travel Rarely,Research & Development,7,Post Graduate,Female,2,Moderate,3,Mid Level,Healthcare Representative,4,Very High," ₹ 1,02,480 ",No,3,Meets Expectation,4,Advanced Training,3,Good,22,6,5,13-09-2002,,,,,,,,,,,,,,,,,,,,,,,,
Emp-030,46,No,Travel Rarely,Sales,2,Post Graduate,Female,3,High,5,Leadership,Manager,1,Low," ₹ 1,89,470 ",No,4,Exceeds Expectation,2,Regular Training,2,Poor,2,2,2,02-09-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-031,33,No,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 24,960 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,1,1,0,06-03-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-032,44,No,Travel Rarely,Research & Development,10,Post Graduate,Male,3,High,2,Junior Level,Healthcare Representative,4,Very High," ₹ 64,650 ",Yes,3,Meets Expectation,5,Advanced Training,4,Better,4,2,1,03-11-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-033,30,No,Travel Rarely,Research & Development,9,Post Graduate,Male,2,Moderate,1,Entry Level,Laboratory Technician,3,High," ₹ 22,060 ",No,3,Meets Expectation,5,Advanced Training,3,Good,10,0,1,02-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-034,39,Yes,Travel Rarely,Sales,5,Post Graduate,Male,3,High,2,Junior Level,Sales Representative,4,Very High," ₹ 20,860 ",No,4,Exceeds Expectation,6,Advanced Training,4,Better,1,0,0,15-06-2023,15-01-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-035,24,Yes,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 22,930 ",Yes,3,Meets Expectation,2,Regular Training,2,Poor,2,0,2,14-10-2022,07-08-2023,,,,,,,,,,,,,,,,,,,,,,,
Emp-036,43,No,Travel Rarely,Research & Development,2,Post Graduate,Female,4,Very High,1,Entry Level,Research Scientist,3,High," ₹ 26,450 ",No,5,Pure Talent,3,Regular Training,2,Poor,5,3,1,21-01-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-037,50,Yes,Travel Rarely,Sales,3,Phd holder,Male,2,Moderate,1,Entry Level,Sales Representative,3,High," ₹ 26,830 ",Yes,3,Meets Expectation,2,Regular Training,3,Good,3,2,0,07-08-2021,29-02-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-038,35,No,Travel Rarely,Sales,2,Post Graduate,Female,3,High,1,Entry Level,Sales Representative,4,Very High," ₹ 20,140 ",No,3,Meets Expectation,3,Regular Training,3,Good,2,2,2,20-06-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-039,36,No,Travel Rarely,Research & Development,5,Post Graduate,Female,2,Moderate,1,Entry Level,Research Scientist,1,Low," ₹ 34,190 ",Yes,2,Needs Improvement,3,Regular Training,4,Better,1,1,0,12-09-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-040,33,No,Travel Frequently,Sales,1,Post Graduate,Female,4,Very High,2,Junior Level,Sales Executive,1,Low," ₹ 53,760 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,5,3,1,24-03-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-041,35,No,Travel Rarely,Research & Development,4,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 19,510 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,1,0,0,03-02-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-042,27,No,Travel Rarely,Research & Development,2,Post Graduate,Female,3,High,1,Entry Level,Laboratory Technician,1,Low," ₹ 23,410 ",No,4,Exceeds Expectation,6,Advanced Training,3,Good,1,0,0,02-08-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-043,26,Yes,Travel Rarely,Research & Development,25,Post Graduate,Male,1,Low,1,Entry Level,Laboratory Technician,3,High," ₹ 22,930 ",No,1,Unacceptable/PIP,2,Regular Training,2,Poor,1,0,0,22-07-2023,28-02-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-044,27,No,Travel Frequently,Sales,8,Phd holder,Male,3,High,3,Mid Level,Sales Executive,3,High," ₹ 87,260 ",No,4,Exceeds Expectation,0,Basic Training,3,Good,9,8,1,21-05-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-045,30,No,Travel Frequently,Research & Development,1,Post Graduate,Female,3,High,2,Junior Level,Laboratory Technician,4,Very High," ₹ 40,110 ",No,3,Meets Expectation,2,Regular Training,3,Good,12,8,3,17-07-2012,,,,,,,,,,,,,,,,,,,,,,,,
Emp-046,41,Yes,Travel Rarely,Research & Development,12,Post Graduate,Female,3,High,5,Leadership,Research Director,3,High," ₹ 1,95,450 ",No,2,Needs Improvement,0,Basic Training,3,Good,22,15,15,23-06-2002,24-05-2022,,,,,,,,,,,,,,,,,,,,,,,
Emp-047,34,No,Non Travel,Sales,23,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,3,High," ₹ 45,680 ",No,2,Needs Improvement,2,Regular Training,3,Good,9,5,8,09-09-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-048,37,No,Travel Rarely,Research & Development,19,Phd holder,Male,3,High,1,Entry Level,Research Scientist,2,Moderate," ₹ 30,220 ",No,4,Exceeds Expectation,1,Basic Training,3,Good,1,0,0,18-09-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-049,46,No,Travel Frequently,Sales,5,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 57,720 ",Yes,4,Exceeds Expectation,4,Advanced Training,3,Good,9,6,0,01-07-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-050,35,No,Travel Rarely,Research & Development,8,Post Graduate,Male,4,Very High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 22,690 ",No,5,Pure Talent,2,Regular Training,3,Good,1,0,0,13-02-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-051,48,Yes,Travel Rarely,Research & Development,1,Post Graduate,Male,2,Moderate,3,Mid Level,Laboratory Technician,3,High," ₹ 53,810 ",Yes,2,Needs Improvement,2,Regular Training,3,Good,1,0,0,24-07-2023,04-02-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-052,28,Yes,Travel Rarely,Research & Development,5,Phd holder,Male,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 34,410 ",Yes,3,Meets Expectation,3,Regular Training,2,Poor,2,2,2,02-10-2022,04-03-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-053,44,No,Travel Rarely,Sales,1,Phd holder,Female,3,High,2,Junior Level,Sales Executive,1,Low," ₹ 54,540 ",Yes,4,Exceeds Expectation,2,Regular Training,2,Poor,4,3,1,25-05-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-054,35,No,Non Travel,Research & Development,11,Phd holder,Male,2,Moderate,3,Mid Level,Healthcare Representative,1,Low," ₹ 98,840 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,4,0,2,25-05-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-055,26,No,Travel Rarely,Sales,23,Post Graduate,Female,2,Moderate,2,Junior Level,Sales Executive,4,Very High," ₹ 41,570 ",Yes,2,Needs Improvement,2,Regular Training,2,Poor,2,2,0,25-07-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-056,33,No,Travel Frequently,Research & Development,1,Post Graduate,Female,3,High,3,Mid Level,Research Director,4,Very High," ₹ 1,34,580 ",Yes,3,Meets Expectation,1,Basic Training,3,Good,15,14,8,01-01-2009,,,,,,,,,,,,,,,,,,,,,,,,
Emp-057,35,No,Travel Frequently,Sales,18,Post Graduate,Male,3,High,3,Mid Level,Sales Executive,1,Low," ₹ 90,690 ",No,3,Meets Expectation,3,Regular Training,2,Poor,9,8,1,02-05-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-058,35,No,Travel Rarely,Research & Development,23,Post Graduate,Female,3,High,1,Entry Level,Laboratory Technician,1,Low," ₹ 40,140 ",Yes,4,Exceeds Expectation,3,Regular Training,3,Good,2,2,2,04-05-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-059,31,No,Travel Rarely,Research & Development,7,Post Graduate,Male,3,High,2,Junior Level,Laboratory Technician,4,Very High," ₹ 59,150 ",No,4,Exceeds Expectation,3,Regular Training,2,Poor,7,7,1,14-03-2017,,,,,,,,,,,,,,,,,,,,,,,,
Emp-060,37,No,Travel Rarely,Research & Development,1,Post Graduate,Male,2,Moderate,2,Junior Level,Manufacturing Director,3,High," ₹ 59,930 ",No,3,Meets Expectation,2,Regular Training,4,Better,7,5,0,08-11-2017,,,,,,,,,,,,,,,,,,,,,,,,
Emp-061,32,No,Travel Rarely,Research & Development,1,Phd holder,Male,3,High,2,Junior Level,Manufacturing Director,4,Very High," ₹ 61,620 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,9,8,7,05-07-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-062,38,No,Travel Frequently,Research & Development,29,Post Graduate,Female,3,High,2,Junior Level,Laboratory Technician,4,Very High," ₹ 24,060 ",No,2,Needs Improvement,2,Regular Training,3,Good,10,3,9,04-09-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-063,50,No,Travel Rarely,Research & Development,7,Post Graduate,Female,2,Moderate,5,Leadership,Research Director,3,High," ₹ 1,87,400 ",Yes,3,Meets Expectation,2,Regular Training,2,Poor,27,3,13,15-02-1997,,,,,,,,,,,,,,,,,,,,,,,,
Emp-064,59,No,Travel Rarely,Sales,25,Post Graduate,Female,3,High,3,Mid Level,Sales Executive,1,Low," ₹ 76,370 ",No,3,Meets Expectation,3,Regular Training,2,Poor,21,16,7,18-08-2003,,,,,,,,,,,,,,,,,,,,,,,,
Emp-065,36,No,Travel Rarely,Research & Development,8,Phd holder,Female,3,High,3,Mid Level,Healthcare Representative,3,High," ₹ 1,00,960 ",No,2,Needs Improvement,2,Regular Training,3,Good,17,14,12,23-10-2007,,,,,,,,,,,,,,,,,,,,,,,,
Emp-066,55,No,Travel Rarely,Research & Development,8,Post Graduate,Female,3,High,4,Senior Level,Manager,3,High," ₹ 1,47,560 ",Yes,4,Exceeds Expectation,2,Regular Training,3,Good,5,0,0,11-10-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-067,36,No,Travel Frequently,Research & Development,11,Phd holder,Male,2,Moderate,2,Junior Level,Manufacturing Director,2,Moderate," ₹ 64,990 ",No,3,Meets Expectation,3,Regular Training,3,Good,6,5,0,20-02-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-068,45,No,Travel Rarely,Research & Development,7,Post Graduate,Male,3,High,3,Mid Level,Research Scientist,1,Low," ₹ 97,240 ",No,3,Meets Expectation,2,Regular Training,3,Good,1,0,0,14-01-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-069,35,No,Travel Frequently,Research & Development,1,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,1,Low," ₹ 21,940 ",No,3,Meets Expectation,2,Regular Training,2,Poor,3,2,1,06-05-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-070,36,Yes,Travel Rarely,Research & Development,9,Post Graduate,Male,2,Moderate,1,Entry Level,Research Scientist,3,High," ₹ 33,880 ",Yes,2,Needs Improvement,0,Basic Training,2,Poor,1,0,0,02-01-2023,04-09-2023,,,,,,,,,,,,,,,,,,,,,,,
Emp-071,59,No,Travel Frequently,Sales,1,Post Graduate,Female,2,Moderate,2,Junior Level,Sales Executive,3,High," ₹ 54,730 ",No,3,Meets Expectation,2,Regular Training,2,Poor,4,3,1,13-03-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-072,29,No,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,2,Moderate," ₹ 27,030 ",No,3,Meets Expectation,3,Regular Training,3,Good,5,4,0,15-09-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-073,31,No,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,2,Moderate," ₹ 25,010 ",No,4,Exceeds Expectation,4,Advanced Training,3,Good,1,1,1,16-12-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-074,32,No,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,2,Junior Level,Research Scientist,2,Moderate," ₹ 62,200 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,10,4,0,07-12-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-075,36,No,Travel Rarely,Research & Development,6,Post Graduate,Female,4,Very High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 30,380 ",No,5,Pure Talent,3,Regular Training,3,Good,1,0,0,23-05-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-076,31,No,Travel Rarely,Research & Development,8,Post Graduate,Female,3,High,2,Junior Level,Manufacturing Director,4,Very High," ₹ 44,240 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,11,7,1,11-09-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-077,35,No,Travel Rarely,Sales,1,Post Graduate,Male,2,Moderate,2,Junior Level,Sales Executive,1,Low," ₹ 43,120 ",No,2,Needs Improvement,2,Regular Training,3,Good,15,13,2,06-03-2009,,,,,,,,,,,,,,,,,,,,,,,,
Emp-078,45,No,Travel Rarely,Research & Development,6,Post Graduate,Male,3,High,3,Mid Level,Research Director,1,Low," ₹ 1,32,450 ",Yes,3,Meets Expectation,3,Regular Training,4,Better,0,0,0,05-05-2024,,,,,,,,,,,,,,,,,,,,,,,,
Emp-079,37,No,Travel Rarely,Research & Development,7,Post Graduate,Male,3,High,3,Mid Level,Research Director,3,High," ₹ 1,36,640 ",No,3,Meets Expectation,3,Regular Training,4,Better,5,2,0,24-08-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-080,46,No,Travel Rarely,Human Resources,5,Post Graduate,Male,3,High,2,Junior Level,Human Resources,2,Moderate," ₹ 50,210 ",Yes,4,Exceeds Expectation,2,Regular Training,3,Good,4,2,0,23-12-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-081,30,No,Travel Rarely,Research & Development,1,Post Graduate,Male,2,Moderate,2,Junior Level,Laboratory Technician,4,Very High," ₹ 51,260 ",Yes,2,Needs Improvement,1,Basic Training,2,Poor,10,8,3,08-04-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-082,35,No,Travel Rarely,Research & Development,1,Post Graduate,Male,2,Moderate,1,Entry Level,Research Scientist,3,High," ₹ 28,590 ",No,2,Needs Improvement,3,Regular Training,3,Good,6,4,0,12-04-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-083,55,No,Travel Rarely,Sales,1,Post Graduate,Male,3,High,3,Mid Level,Sales Executive,4,Very High," ₹ 1,02,390 ",No,3,Meets Expectation,4,Advanced Training,3,Good,1,0,1,22-01-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-084,38,No,Non Travel,Research & Development,6,Post Graduate,Female,1,Low,2,Junior Level,Research Scientist,4,Very High," ₹ 53,290 ",Yes,1,Unacceptable/PIP,3,Regular Training,3,Good,13,11,1,01-07-2011,,,,,,,,,,,,,,,,,,,,,,,,
Emp-085,34,No,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,2,Junior Level,Manufacturing Director,2,Moderate," ₹ 43,250 ",No,3,Meets Expectation,2,Regular Training,3,Good,5,2,1,05-01-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-086,56,No,Travel Rarely,Research & Development,7,Post Graduate,Male,1,Low,3,Mid Level,Manufacturing Director,4,Very High," ₹ 72,600 ",No,1,Unacceptable/PIP,3,Regular Training,2,Poor,6,4,0,13-05-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-087,23,No,Travel Rarely,Sales,2,Graduate,Male,3,High,1,Entry Level,Sales Representative,1,Low," ₹ 23,220 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,0,0,0,03-08-2024,,,,,,,,,,,,,,,,,,,,,,,,
Emp-088,51,No,Travel Rarely,Research & Development,9,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 20,750 ",No,3,Meets Expectation,4,Advanced Training,3,Good,4,2,0,24-06-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-089,30,No,Travel Rarely,Research & Development,2,Post Graduate,Male,2,Moderate,2,Junior Level,Healthcare Representative,4,Very High," ₹ 41,520 ",No,3,Meets Expectation,3,Regular Training,3,Good,11,10,10,16-01-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-090,46,Yes,Travel Rarely,Sales,9,Post Graduate,Male,2,Moderate,3,Mid Level,Sales Executive,4,Very High," ₹ 96,190 ",No,2,Needs Improvement,3,Regular Training,3,Good,9,8,4,02-10-2015,03-05-2017,,,,,,,,,,,,,,,,,,,,,,,
Emp-091,40,No,Travel Frequently,Research & Development,1,Post Graduate,Male,2,Moderate,4,Senior Level,Healthcare Representative,2,Moderate," ₹ 1,35,030 ",No,2,Needs Improvement,3,Regular Training,2,Poor,22,3,11,02-01-2002,,,,,,,,,,,,,,,,,,,,,,,,
Emp-092,51,No,Travel Rarely,Sales,21,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 54,410 ",Yes,3,Meets Expectation,2,Regular Training,1,Very Poor,10,7,1,06-04-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-093,30,No,Travel Rarely,Sales,4,Post Graduate,Female,2,Moderate,2,Junior Level,Sales Executive,2,Moderate," ₹ 52,090 ",Yes,3,Meets Expectation,4,Advanced Training,2,Poor,11,8,2,11-11-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-094,46,No,Travel Frequently,Research & Development,1,Post Graduate,Male,2,Moderate,3,Mid Level,Healthcare Representative,1,Low," ₹ 1,06,730 ",Yes,3,Meets Expectation,5,Advanced Training,2,Poor,10,9,9,11-05-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-095,32,No,Travel Rarely,Sales,6,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,3,High," ₹ 50,100 ",No,3,Meets Expectation,0,Basic Training,3,Good,11,8,5,08-09-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-096,54,No,Travel Rarely,Research & Development,2,Phd holder,Female,3,High,3,Mid Level,Research Director,3,High," ₹ 1,35,490 ",No,4,Exceeds Expectation,5,Advanced Training,1,Very Poor,4,3,0,01-09-2020,,,,,,,,,,,,,,,,,,,,,,,,
